,beer_id,brewery_id,style,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,abv,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,name,brewery_nbr_beers,true_serving_type
2550025,23059,211,Saison / Farmhouse Ale,1183370400,morebeergood.7924,3.5,3.0,4.0,4.0,3.5,3.63,"Had this on tap at Watch City on Saturday 6/30/07. The chalkboard described this as a Belgian Red Ale, so I asked the bartender if it would have a sour taste to it. He said it's the opposite, it has a bit of a sweet taste. It was served in a oversized snifter with a hefty price of $5.75. It was a dark ruby red color with a thin head. The flavor was very good though. It had a fruit like characteristic to it, somewhat like cherry. No sourness at all. Tasted just as good as the beer approached room temp. At 7.8 % abv, it was a fine beer to just enjoy and sip. My favorite beer on tap there that night.",22,13,3.56,6.8,1319,850,1092391200.0,"United States, Massachusetts","United States, Massachusetts",Watch City Brewing Co.,141,draft
192045,27399,415,English India Pale Ale (IPA),1235386800,godofbeer.180865,3.5,3.5,3.0,3.5,3.5,3.45,"Pours a light amber/brown with a thin white head, lots of carbonation.Smells kind of macro at first, corny, sort of sweet, some citrus undertones too which aren't bad.This actually tastes half-decent, sweet caramel malts, with some slight citrusy hoppy bitterness, there is definately some corny metallic aftertaste though.",114,88,2.88,5.3,359,351,1198234800.0,Canada,Canada,Sleeman Breweries Ltd.,47,unknown
646754,2671,140,American Barleywine,1203678000,barronkr.75016,4.5,4.5,4.0,4.5,3.5,4.25,"25th Expedition -- reviewed same year.Pours a deep amber, copper red. Nice lacey head that quickly dissipates presumably due to the ABV. Smell is overwhelmingly C hopped. Piney, resinous, faint hint of citrus -- definitively Sierra Nevada. A slight sweetness from the malt barely carries through. Hoppy. The first taste is a rush of thick, sweet, resinous, all-American hoppy goodness fading to a nice bitter aftertaste that persists for a while. The malt easily balances the bitterness, first sweet and bready followed by an unexpected dry finish that lingers with the residual bitterness. As the beer warms the dryness becomes more evident, nicely contrasting the initial sweetness. The bitterness really does build in this beer, a quality that may decrease with aging -- who knows I'm not that patient. The mouthfeel is thick, but not overly so, again nicely complemented by the clean dryness that becomes progressively evident. Overall an EXCELLENT Barleywine, different in many ways from the malt-forward offerings of other companies. As a hophead I thoroughly enjoyed this one.",7503,3058,4.14,9.6,13,6,1145268000.0,"United States, South Carolina","United States, California",Sierra Nevada Brewing Co.,574,unknown
1211407,23626,103,American Double / Imperial IPA,1155808800,gavage.1881,4.0,3.5,4.0,4.0,4.0,3.88,"Appearance: hazy orange in color with a two finger head that lasts. Soft lacing develops. Smell: fruits and citrus sweetness along with some bitter tones.Taste: nice malt backbone with a very strong bitterness that knocks you back a bit. Grapefruit and pears are detectable. Alcohol quite noticeable too. Interesting to say the least.Mouthfeel: crisp throughout. Medium-heavy bodied. Aftertaste is very long and dry on the bitter and citrus flavors. Drinkability: actually for the bold bitterness and alcohol, I found this to be enjoyable. Definitely improved as it aged.",234,177,4.08,10.0,3476,3470,1049796000.0,"United States, New Jersey","United States, New York","Middle Ages Brewing Co., Ltd.",61,unknown
1637104,55335,21868,American Pale Ale (APA),1416049200,ordybill.822032,4.5,4.5,4.0,4.5,4.0,4.35,"Poured from a 12 OZ bottle into a pint glass at the TacoMac in Douglasville, GA. The beer has a pale yellow color with a really great aroma. The flavor brings a slight citrus flavor with a little bit of hoppiness. I really like this beer and I recommend that you try it if you can find it.",285,56,3.52,6.0,1760,1728,1404900000.0,"United States, Georgia","United States, Alabama",Back Forty Beer Co.,21,bottle
2424080,138,41,Dubbel,1055239200,larrykemp.765,4.0,3.5,4.0,3.5,4.0,3.68,"This poured a cloudy brown with a bubbly white campaign like head. We drank this delightful sparkling beer while sitting in the sun and brewing a California Common. This beer although high in alchohol, made a great sipping beer. The aroma complemented the fine, light taste. The bubbles tingled the tongue and the tartness made me thirsty for the next sip. It was a nice drinkable beer in a social sitting.",1139,584,3.99,7.5,251,251,1032602400.0,"United States, Texas",Belgium,Brouwerij Corsendonk,18,unknown
787207,691,199,American Amber / Red Ale,1219485600,themaniacalone.37950,3.5,4.0,4.0,4.0,4.5,4.07,"Poured from a 12oz. bottle into a US tumbler pint glass.A: The beer is a light coppery brown color, with a thin off-white head that fades quickly and leaves a thin lace on the glass.S: The aroma is of caramelized malts, citrus and a good amount of floral hops.T: The taste is well-balanced with sweet flavors of caramel and citrus and a strong but not overpowering hops bitterness. The malt character is hearty. The after-taste is slightly sweet and slightly hoppy.M: Crisp and smooth, medium body, medium carbonation, finish is clean.D: Tasty, goes down very easily, not too filling, decent kick, good representation of style, this a nice choice to pound down when you want a beer with some substance and a decent hop presence that won't try to knock you over.",1448,465,3.83,5.5,5243,4948,1125741600.0,"United States, Rhode Island","United States, California",Ballast Point Brewing Company,444,bottle
1491605,85224,28091,Witbier,1381658400,woodychandler.5708,3.0,3.75,3.75,4.0,3.75,3.81,"I think that this one also came from tone77 as I am not generally given to buying bottled beers, and certainly not wits, on my own. He keeps me honest and grounded because otherwise I would drink nothing but IPAs and CANned beers. From the bottle: &quot;We brew to taste, fit to style&quot;.; &quot;Pouring Instructions: Pour 3/4 of bottle into glass; swirl remaining liquid inside bottle to rouse yeast, then pour into glass.&quot;I have Destiny's Child playing on YouTube as musical accompaniment and I followed the label's directions, so here we go. I got a fluffy finger of bone-white head atop the beer so that it all looked like a cross-section of lemon meringue pie. Color was a cloudy yellow, about the shade of freshly squeezed grapefruit juice (SRM = 4). Nose smelled tangy with a black pepper bite. Mouthfeel was effervescent and the taste was peppery, but with a bubble gum-like sweetness and an indecipherable tang on the tongue. I am not a huge fan of the style, but the homeboys really did a nice job with this one. Finish was semi-dry, thanks to the spices and the yeast having done its part. I can hang with semi-dry in the style, but I have had some numbers which were too dry, hence my trepidation.",86,11,3.5,5.7,4526,4526,1081504800.0,"United States, Pennsylvania","United States, Pennsylvania",Free Will Brewing Co.,143,bottle
855676,88,147,American IPA,1154426400,mherring.36711,4.0,4.0,5.0,4.5,4.5,4.4,"I had a weekend back home and found this at a local beer bar. When I ordered a Scottish started going crazy about how IPA's were his favorite type of beer. As a side note he also did very good impressions of Fat Bastard, and did more and more of them as the night wore on. Back to the task at hand though. I've never had an IPA before but knew it to be very well hopped. This was no exception to the style and was a very good beer by my standards. It poured a nice goldish orange color and I was immediately taken in by the nice smell of citrus and hops. The taste was awesome. It had a very crisp feel to it and the hops definitely came through. This is a style of beer I think I could grow to love very easily if they are all as drinkable as this beer.",11002,3033,4.22,6.9,21,21,1125050400.0,"United States, Ohio","United States, California",Stone Brewing,671,unknown
1808972,62550,22511,Baltic Porter,1314784800,maximum12.188598,4.0,3.5,4.0,4.5,4.5,4.18,"Thanks to an A+ trader, sholland119, for this bottle. Had no idea there were so few floating around - I had some previously at an epic tasting along with the others in a set, but now get to have one all to myself (my lovely wife objects to any smoke in her beer). Poured into my big Terrapin snifter, leaving a bit in the bottom of the 500ML bottle for later dispensation. Black. Ring of head like white hair on an aging accountant. Smoke is the primary driver in the smell: really, the only smell. Nothing else parts the curtain. Fear &amp; Trembling: Mixed Up is par for the course for the triplets. Woodfire blazing up front initially overwhelms the palate, but as the taste buds adjust to the onslaught, other tastes slip in underneath. The cabernet is evident as a dash of wine in the mix underpinned by a healthy, drying factor of oak. Wood-fired bacon is present but doesn't pork the place up. Bourbon? Shows up mainly in the tongue-numbling backdraft, an echo of vanilla &amp; alcohol. 40/60 I could have picked it out without a label, but it does come forward as the beer warms. Beautiful baltic porter. More subtle &amp; restrained than many barrel-aged brews, it's a good thing the base beer is (presumably) world-class. Excellent beer. Now, to track down a bottle of the bourbon...",121,56,4.2,9.3,2479,2479,1200913200.0,"United States, Minnesota","United States, Vermont",Hill Farmstead Brewery,222,bottle
1762854,41008,15189,Belgian Strong Dark Ale,1309428000,mdfb79.414386,4.0,4.0,4.0,3.5,3.5,3.7,"From 06/25/11 notes. Poured from a 22 oz. bottle into my Bruery tulip.a - Pours a murky dark brown color with two inches of off white head and moderate carbonation evident. Spotty lacing left on the glass.s - Smells of dark fruits, chocolate, roasted malts, and bready malts.t - Tastes of dark fruits, sweet fruity malts, roasted malts, chocolate, and light bready malts.m - Medium body and average carbonation.o - Overall a nice beer heavily focused on dark fruits, though it kind of reminded me more of a stout than a Belgian dark ale. Would have it again.",123,44,3.9,8.0,4508,3779,1263207600.0,"United States, New York","United States, North Carolina",Big Boss Brewing,78,bottle
404364,45455,3801,Euro Pale Lager,1366452000,tone77.332060,4.0,3.75,3.5,3.75,3.75,3.74,"Poured from a green 16.9 oz bottle. Has a rich golden color with a 1/2 inch head. Smell is of malts, grains, a touch of sweetness. Taste is crisp, clean, malts and grains, A touch of bitterness at the finish. Tasty. Feels medium bodied in the mouth and overall I could drink several of these on a hot summer day.",26,15,3.07,5.0,3489,3489,1242813600.0,"United States, Pennsylvania",Poland,Brok Brewery,11,bottle
2145278,1118,132,American Stout,1118656800,bobbyc881.21237,5.0,5.0,4.5,5.0,4.5,4.85,"This is by far one of my favorite beers, and I've had it both on-tap and from a 22oz bottle. Pours out nice and dark, with a creamy tan head.Smells absouletly awesome, like chocolate, obviously. Reminds me of hot chocolate, but it's cold, and beer. Smells so wonderful that I wish I could inhale it all.Taste matches up with the smells, except a bit more dry and bitter. Nice roasted malts. Flavored with oats and chocolate, and a bit of the hops poke through. Excellent taste.Medium carbonation, but altogether very smooth. Leaves my mouth a touch dry.I could drink these all night, but I could see where it would be filling for some. Excellent with a meal, but stands strong by itself as a dessert beer.",4194,1913,4.19,5.8,82,82,1117360800.0,"United States, South Carolina","United States, Oregon",Rogue Ales,247,unknown
1030002,795,33,American Barleywine,1207908000,currysage1.185947,4.0,4.0,4.5,4.0,4.0,4.05,"2007 vintage. Pours a dark red stained mahogany, with a massive three finger head that slowly sinks to a healthy coating on the surface. Good lacing all the way down.Smell is malty raisins, citrusy notes of hops, sweet and syrupy.Taste is of citrus mixed with caramel then the hop bite sets in with cloves and mulling spices -a slight metallic twinge to it.Feel is great, nice and full bodied without being to heavy or slick. Drinkability is high on this one due to the alcohol content being hidden so well behind the malt.",319,183,3.88,9.5,168,167,1200049200.0,"United States, Maine","United States, Massachusetts",Berkshire Brewing Company Inc.,99,unknown
1366680,607,192,American Amber / Red Ale,1193306400,champ103.156510,4.0,3.0,3.5,4.0,4.0,3.71,"A: Orange/amber color with a small white head, decent carbonation, and a good amount of lace on the side.S: A little one dimensional. A lot of malt some hops, and maybe a hint of some other spices.T: Bread/biscuit malt with some nutty flavors and hops. A very distinct flavor that I like a lot.M/D: A light to medium body and medium carbonation. Not bad at all. A session beer through and through.How do I sum my thoughts up without ranting? I will try and keep this short. This beer is considered a stepping stone into the craft beer scene, and many people think it is an over-hyped beer. I spent a summer camping in Montana in 2005. Fat Tire, Moose Drool and some local micro's were all we drank. I loved it then and after many years of trying many other styles, I still find it very good.",8661,2041,3.6,5.2,2414,2384,1188813600.0,"United States, Texas","United States, Colorado",New Belgium Brewing,298,unknown
2023614,11757,1199,American Double / Imperial Stout,1441792800,soccrgump.483419,4.5,4.25,4.0,4.5,4.5,4.39,"Pours jet black w a finger dark tan head. Aroma of dark roast, coffee, dark chocolate. Tastes just like the aroma w an alcohol punch at the back. Mouthfeel is surprisingly thin to me. Overall a great stout.",16509,3811,4.47,8.3,27,24,1279879200.0,"United States, Pennsylvania","United States, Michigan",Founders Brewing Company,399,unknown
1558178,91132,26,American Double / Imperial Stout,1363777200,kawilliams81.303023,4.0,4.0,4.0,4.25,4.0,4.1,"Poured from a 22 oz bottle into a AleSmith Horny Devil snifter.A- pours black with a 2&quot; dark tan head. Leopard spotting and trails of lacing remain on the glass.S- roasted malts, chocolate, and big pine notes.T- nice chocolate, light roast, almost a light mint from the mix of chocolate and bitter pine.M- medium body and carbonation. Nice light creamy feel.O- nice hoppy stout. Seems higher than 40 ibu's. chocolate and pine create a nice flavor.",424,50,3.97,8.5,979,819,1235732400.0,"United States, Illinois","United States, Indiana",3 Floyds Brewing Co.,333,bottle
2503113,922,355,American Adjunct Lager,1196074800,bigredn.3982,3.5,2.0,2.5,2.5,2.0,2.34,"Appearance: Poured from the stubby, 12 oz dark glass bottle with a pry off top into a pint glass (I was too lazy to get a pilsner glass). The beer is clear and dark golden in color. A nice 1/2 inch fluffy white head sits atop the liquid. Head slowly fades to a solid cover with some good lacing. A good looking beer.Smell: Similar to the MIg Light, but not as rotten. Still this is a very adjuncty beer, smells of sweet buttered, corn. Nice on my dinner plate, not so nice in my beer.Taste: Very mild, less offensive than Mig light, still its very adjuncty. Corn predominately, a touch sweet. Mouthfeel: Light to medium in body. Prickly on the tongue and throat, with good carbonation.Drinkability: While this may be an ok beer choice in the Phillipines, there are WAY too many macro lagers available to me here. Both better beer and cheaper beer. Purchased one bottle to try. I'm probably good and don't see the need to buy another.",403,173,2.78,5.0,415,405,1071313200.0,"United States, Nebraska",Philippines,San Miguel Brewery Inc.,17,bottle
1725179,6368,1177,American IPA,1083319200,manekineko.2654,4.5,4.5,5.0,4.5,5.0,4.65,"Served from a growler named Jamshed, which came to NoVA courtesy of the host with the most: feloniousmonk.Appearance: Tea-twinged light brown topped by a foamy and rocky tannish head. The head retained a big ol' film of foam and left thick sheets of lacing on the sides of the glass. Impressive.Smell: A good ol' twang of hops: orange rind, grasses, some pine, grapefruit citrus. A minor hint of toffee-like malts show this won't be hop-tea.Taste: Solid malt presence with a sh'load of hoppiness. Heavy on the fruity citrus and spruciness. A lingering sting of IBUs. Damn Biatch!Mouthfeel: Burly and brash like a hoppy elephant dancing on your tongue.Drinkability: Hell yeah! Little Jamshed was not enuf. I must have more. Too bad I just signed a year-long lease...",1370,679,4.35,6.0,428,428,1060423200.0,"United States, Virginia","United States, Minnesota",Minneapolis Town Hall Brewery,570,bottle
1833981,244049,45496,American Pale Wheat Ale,1473069600,jfitzbrew.1171002,4.25,4.25,4.25,4.5,4.25,4.35,"Poured from a growler. Very nice straw lemonade appearance. Relatively clear. Unfortunately, little head retention. Smells like fresh squeezed lemons and lacto. Taste is where this beer shines. Very refreshing lemony citrus notes, light body with the wheat coming through nicely. This is like no beer I have had before and I would definitely drink a few of these on a hot summer day.",14,4,3.98,4.2,127,78,1472119200.0,"United States, Vermont","United States, Vermont",Foam Brewers,97,bottle
775748,4970,200,American IPA,1212141600,jamess.156552,3.5,4.5,4.0,4.5,4.0,4.29,"The best of the mixed pack.Pours a nice orange/amber color with decent head and good lacing. It has a wonderful scent, very hoppy, with the great citrus aroma of cascade hops, a wonderful floral scent. Great taste, too, a wonderful combination of American and English hops, it has a great bitter taste with slight hints of citrus. For such a hoppy brew, it goes down really well.",913,540,3.37,7.0,1347,1208,1188813600.0,"United States, Indiana","United States, California",Mendocino Brewing Company,75,unknown
2148077,355,132,Maibock / Helles Bock,1120644000,villainchiwwin.26436,4.0,3.5,4.0,4.0,4.0,3.88,"poured from 12 oz. bottledeep reddish mahogany or dark amber honey colored with enough haze to render it opaque. creamy off-white head that left chunky bits of lacing stuck to the inside of the glass all the way to the bottom. light floral scent with malt wafting though and a faint tingle on the nose suggesting hops content. tasted caramel and nut flavors in the initial sweet malt impression - toasty. bitterness creeps in soon after adding bite to the malt before crushing it with a heavy hops burst mid-palate. strong finish that is noticably more hops than malt (despite the touted &quot;balanced finish&quot;) and has great lingering power. felt smooth at first, then more medium-bodied and a bit chewier or oily. appropriate carbonation. very decent brew if you're in the mood for something less pale with plenty of hops.",7497,2400,3.94,6.8,91,91,1119952800.0,"United States, Maine","United States, Oregon",Rogue Ales,247,bottle
1415515,62527,22150,Saison / Farmhouse Ale,1304676000,liamt07.353337,4.0,3.5,4.0,4.0,4.0,3.88,"750ml waxed cap bottle, shared by Sammy. Served in a tulip.Pours maroon, with other shades of brown thrown in, some mild sediment and white head. Nose has some mild funk, citrus rind and zest and some toasted malt. A bit of yeast as well. Taste has more of a brown ale character than a saison I thought, more citrus rind and wheat. A touch of brown sugar as well. The mildest tartness finishes off the mouthfeel, and works well to balance and contrast the sweetness imparted by the brown sugar I thought I detected. Mouthfeel has a bit of spritz to it, high carbonation but not overdone. No alcohol. This one has a great refreshing feel to it, and one bottle on a warmer summer's eve would be awesome.",270,113,3.75,7.2,3425,1358,1248602400.0,Canada,"United States, Maryland",Stillwater Artisanal Ales,149,bottle
1591780,220377,42560,American Double / Imperial IPA,1485082800,edthehead.1002275,4.75,4.75,4.75,4.75,4.75,4.75,Met the hype. Deep hazy opaque burnt orange color with massive lasting head. Grapefruit peach and passion fruit nose and taste. Full and smooth mouth feel. Thanks Myles for the trade!,261,66,4.61,8.4,1267,165,1434794400.0,"United States, New York","United States, Virginia",Aslin Beer Company,112,unknown
177046,212109,34671,Belgian Pale Ale,1453806000,sammy.3853,3.5,3.5,3.5,3.75,3.75,3.65,Closer to a Belgian pale style. Some lace.  Freshly made a few days ago.  The fresh yeast contributed to drinkable. bit above average mouthfeel. Brian's bottle.,1,1,3.65,7.7,12046,7593,1070276400.0,Canada,Canada,Innocente Brewing Company,44,bottle
2310469,86023,22072,American Porter,1422183600,stortore.601648,4.0,4.25,4.0,4.0,4.0,4.06,"22 ounce 2014 bottle into a snifter.Very dark, some head with an average pour.  Smells mostly of bourbon, some chocolate, a little anise.  Taste gives up some bourbon, coffee- not nearly enough, a touch of cinnamon.  Some bitterness.  Highly carbonated to drink, should have poured a bigger head.  A little bit thin for the recipe.This is a good beer, but it's the first of the Deep Wood series I've had, that didn't make me sit up and bark.  Pretty high price point for what it is.",655,83,4.06,9.0,2085,742,1306836000.0,"United States, Illinois","United States, Illinois",Revolution Brewing,255,bottle
2287373,4319,1146,Saison / Farmhouse Ale,1227006000,paco1029384756.203924,4.5,4.5,3.5,4.0,4.5,4.2,"Pours a golden color with a ruby tint and a small white head.Scent of yeast, some sugars, oats and fruits. Very good, my favorite aspect of this beer, just a nice floral scent.Taste of spices and yeast with some earthy malts. Didn't think it was anything special at first, but it really grew on me and it turned out the be my favorite beer of the evening.Mouthfeel is light and a little oily, could be better.Very drinkable, before I knew it my glass was empty.",15,13,4.02,6.5,962,922,1205751600.0,"United States, Illinois","United States, Illinois",Goose Island Beer Co.,869,unknown
2207966,22592,579,American Blonde Ale,1358852400,tmoney2591.322390,3.5,2.5,3.25,2.75,2.5,2.74,"Served in a Lagunitas mason jar.Yeah, it's great for some gnar and whatnot, but you don't wanna get one too big... Anyway, this stuff pours a clear golden-straw topped by a finger of lightly off-white foam. The nose comprises old mango, funky lemon peel, mild grass, and a few tablespoons of honey. The taste focuses on the lemon, with a slightly decreased sense of funk, altogether tempered by a crisp, watery biscuit-ish character. The body is a hefty light, with a light moderate carbonation and a crisp-ish finish. Overall, an odd little beer, one that seems to wanna be a lightly fruity blonde, but one that ends up a watered-down and funky husk of its own aspirations.",1872,323,3.54,4.4,4335,4328,1240308000.0,"United States, Illinois","United States, Hawaii",Kona Brewing Co.,58,unknown
2379423,2319,753,Belgian Strong Dark Ale,1364036400,bgdrock.659462,4.5,3.25,4.5,4.5,4.5,4.2,"Appearance: muddy, strawberry/rhubarb jam red/brown; pours a big, fizzling head with good retentionAroma: not much coming forward, some fruit and spice, jam coming to mind againTaste &amp; Mouthfeel: fatty, yeasty flavour and mouthfeel jump out at first with mashed fruit; feels stronger than the 9%, good burn from the alcohol; some spice - cinnamon; toffee begins to come through strongly, nice and rich; great carbonation and medium body; yeast is unfiltered and has built some great character; cherry, cassis, banana, and even a little tart in the finish; flavours mesh but also surprise with each sipOverall: love a good Belgian beer in this style and this one is an amazing example with wonderful depth, complexity, and full mouthfeel",909,515,4.06,9.0,250,243,1329044400.0,Canada,Belgium,Brasserie Caracole,21,unknown
1621953,72793,423,Dubbel,1354359600,smcolw.4440,4.0,4.0,4.0,3.5,3.5,3.7,"Huge initial head. Recedes in a lumpy fashion. Surprisingly minimal lace. Red, dark amber color.Earthy; smells like wet sticks. Dark malts but without any hint of sugar. Alcohol is quietly present.Nutty flavor with a strong, warming alcohol. Rich bodied. The swallow was a bit of spiciness to it, mostly cinnamon and nutmeg. Peppery aftertaste.",399,125,3.87,8.0,4695,4659,1074250800.0,"United States, Massachusetts","United States, Missouri",Boulevard Brewing Co.,140,unknown
