beer_id,brewery_id,style,abv,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,brewery_nbr_beers,true_serving_type
197111,27870,Milk / Sweet Stout,5.5,1448794800,franziskaner.20741,4.0,3.75,3.75,4.0,4.0,3.92,"Black in color with no penetration to light.  There's a fingernail of beige covering nearly all of the top.  I get plenty of cinnamon, vanilla and chocolate in the nose.  I taste vanilla and cinnamon with chocolate playing more of a background note.  The mouth is silky and a bit oily.",78,14,3.84,1655,1655,1117188000.0,"United States, Missouri","United States, Missouri",144,unknown
72693,24827,American Double / Imperial IPA,,1314871200,womencantsail.222552,3.5,3.0,3.5,3.0,3.0,3.08,"On-tap at Woodshop 6A DIPA with cocoa nibs...okay.A: The pour on this beer is amber with a small white head.S: Very sweet. The base for this must be Retribution. Caramel and toffee with a bit of citrus and grass. There actually is a noticeable chocolate aroma to it. Light pine notes, maybe some herbal hops.T: The flavor is just as sweet with lots of caramel, toffee, and even sweet citrus. Oranges, light grapefruit, and mild herbal hops. Almost no bitterness and a little bit of chocolate flavor.M: Medium bodied with rather low carbonation.O: So far I've been very unimpressed with the High Water beers. Hopefully Steve can get them back to the level of the renowned Valley beers.",3,1,3.18,4458,4458,1211709600.0,"United States, California","United States, California",41,draft
35397,220,American Amber / Red Ale,8.8,1466071200,ablemedic49.1155625,4.0,4.75,4.25,4.5,4.25,4.46,"I decided to give this brew a try after reading the mostly positive reviews.  I have to say, I am impressed.  Definitely one of the better beers I have had in awhile.  I poured it into a tulip glass, and the first thing I noticed was the beautiful dark copper color and a nice creamy colored head, about 2 fingers in length.  I would also like to mention the temperature of the beer was probably around 50-60 degrees, not sure exactly how much, but this beer was only in my fridge for about an hour before I decided to give it a try.Upon taking my first sip, I noticed the subtle and pleasant aroma of the hops.  The beer itself is not as hoppy, or bitter as I expected.  What I tasted the most was the malts coming through, to give it a slightly sweet, yet pleasant and clean finish.Lastly,I was suprised to find out about the High ABV rating, for a beer that is almost 9% ABV it sure went down smooth.  Overall, good rating, and would drink again!",2686,955,4.1,2,2,1465898400.0,"United States, Virginia","United States, California",278,unknown
4079,160,English Pale Ale,4.7,1419764400,emperorbevis.621888,3.75,3.5,3.25,3.5,3.5,3.49,"Bottled and purchased from budget supermarket B&amp;Ms guess this is no longer organic, some taste in there, corn &amp; bitterness, had worse, especially from Wychwood",495,252,3.1,2082,1845,1316944800.0,England,England,75,bottle
3434,418,Milk / Sweet Stout,6.0,1338544800,augustgarage.139277,3.0,3.5,4.0,4.0,3.5,3.72,"Bottled on 4/6/2012; poured from a 12oz bottle into a pint glass.Nearly opaque seal brown body with copper/bottle-brown highlights. A thin cream head recedes to a minute yet lasting collar. Delicate sandy lacing, poor retention.Low roast malt aromatics - faint Nutella-on-toast notes as well.The roast malt and lactose are in such balance that they nearly cancel one another out - neither sweetness or roast rises above one another in the flavor profile. The result is a clean yet surprisingly one-dimensional brew. Rather dry earthy finish with a hint of plain pasteurized low-fat milk towards the end.Medium-bodied with somewhat low carbonation. Less sweet than you might expect, but unfortunately less flavorful as well. Tasty, but unremarkable.",6812,1763,3.92,1105,1070,1179655200.0,"United States, California","United States, Colorado",115,bottle
7463,1199,Scotch Ale / Wee Heavy,8.5,1444644000,schwansmantr.1053482,5.0,5.0,4.0,3.0,3.75,3.85,"Been wanting to try this for a while, Founders Dirty Bastard scotch ale. This is a highly rated beer on almost all reviews. It's a dark copper hazy appearance with a light head. With a 8.5 percent alcohol content it smells like bread,roasted toast, caramel. The taste is very caramel, sweet complex scotch taste. If you like scotch you will love this beer but keep in mind it is a strong beer. Personally I'm not a scotch lover but if I were I would most likely give it an A+. With that being said I give it a B-.",7513,1922,4.03,69,42,1444557600.0,"United States, Ohio","United States, Michigan",399,unknown
38725,6844,Dunkelweizen,5.2,1190196000,thesarge.9029,5.0,4.0,4.0,4.0,4.0,4.06,"Welde Dunkel Weizen pours with great presentation. The hed is a milky chocolate color, and there are ample amounts to marvel at. The body is dark leather looking and is nearly opaque.There are deep bready aromas, but nothing in the way of banana or bubble gum.This actually tastes slightly coffee like with a snap of ginger and burnt orange.Welde Dunkel Weizen has a powdery feel to it, but still quite smooth.",2,2,3.86,921,921,1096538400.0,"United States, Virginia",Germany,17,unknown
7971,863,American Double / Imperial IPA,8.0,1366192800,rinkor16.641714,4.5,4.5,4.5,4.75,4.5,4.6,"I drink this regularly on tap at the pub. It's probably a little biased.A: Very clear with a nice copper hue. When I've had it out of a growler or bottle, it always has some nice head that dissipates after a while.S: Tons of hops, citrus and pine.T: Upfront hops with lots of citrus and pine in the background. Very clean finish that doesn't leave you with any odd tastes. Follows the nose down to the T.M: Smooth and medium bodied. Always the right amount of carbonation.O: This is my go to when I'm looking for a beer on tap. I visit the pub at least once a month. Always go for my 1-2 punch. PtE followed by a Row 2 with a Lola pizza. Always fills the craving.",14436,3690,4.6,40,40,1323687600.0,"United States, California","United States, California",108,draft
99989,35,American IPA,5.8,1388919600,auraan.678664,4.0,4.0,3.5,3.5,3.75,3.7,"Poured a rich, clear caramel with a half-finger fluffy white head that receded to a quarter finger and left ample lacing down the glass. Carbonation bubbles go up the glass. Pretty good looking, very much an IPA. Scents of caramel, some fruity aromas, faint pine and citrus and some hints of juniper berries in the background. A fairly typical IPA aroma, but I like that you can actually detect the juniper berries in the aroma. Taste begins with a lot of caramel malt sweetness, some herbal hops, some citrus, some berry-like frutiness and some very faint juniper berries. These flavors are sustained in the middle. Finish continues with these flavors but adds a bit of a bready malt that continues into the aftertaste, along with a lingering bitterness. A decent East Coast IPA, but I do wish the juniper berries were a bit more prominent in the flavor profile. Mouthfeel is medium bodied, slightly sticky, faintly oily with low carbonation and a slick finish. Quite easy to drink and very true to style. Overall this is a good IPA with a faint hint of juniper added. Its not amazing and there are certainly better IPAs out there, but its not bad and a good addition to the Winter pack.",696,122,3.52,727,556,1338285600.0,"United States, Arizona","United States, Massachusetts",285,unknown
40702,2137,Herbed / Spiced Beer,4.2,1354964400,amitc.695286,4.0,4.0,4.0,3.5,4.0,3.8,"Pored from a 12 oz bottle.Super high carbonation. Some beer came out bubbling just right out of bottle. Pale golden color with high haze. Over two fingers thick head. Decent lacing on the sides. Good number of bubbles.Smells a lot of wheat cloves, phenols and sweetness. Some minor banana. Taste: A little disappointing in that sweetness is not well balanced. Some carbonation derived astringency. Noble hops. Sweet dry finish.Mouth feel: Easy drinking fresh and fuxxy. Light medium feel. High on carbonationA good beer for a summer day which i am drinking just to try.",1068,259,3.39,871,258,1348221600.0,"United States, New York","United States, Colorado",140,bottle
1784,124,German Pilsener,4.9,1210672800,joshgambit.217854,5.0,5.0,5.0,5.0,5.0,5.0,"One of my first non-macro brews a long, long time ago.A: Golden straw color. Clear, with bright white foam. Good lacing in the glass.S: Malty grains, good Saaz characteristics.T: Light malt, slightly bready. Kind of peppery, but sweet. Good hop bite. Love this one. M: Finishes crisp. very nicely carbonated.One of my absolute favorite beers. I'd love to find this on-tap somewhere close. Excellent drinkability. Always a good choice when I want a pilsner.",409,202,3.74,4,4,1210154400.0,"United States, Iowa",Germany,30,unknown
9963,619,American Amber / Red Lager,,1253613600,nickd717.217873,3.5,2.5,3.0,2.5,2.5,2.61,"Bottle sent as part of a mixed six-pack for a 26th birthday gift from my sister in April '09. Thanks, Cara!A - Pours reddish-amber with a small creamy white head.S - Malty with caramel, red berries, and mild citrus hops.T - Caramel malt, some cherries, roast, and mild hops on the finish. Tastes a bit like a bad homebrew.M - Palate is reasonably smooth with medium-light body.D - Decent. This is pretty unexciting, but not too bad. Beats their pumpkin ale, which I had side-by-side with this.",80,41,2.77,1414,1414,1210240800.0,"United States, California","United States, California",35,bottle
34,22,Tripel,9.0,1130061600,sacfly.7303,3.0,4.0,4.5,4.5,3.5,4.09,"Pours a cloudy, straw/gold color. Huge thick white head. Musty and light bubblegum sweetness in the nose. Sharp when cold, but blends well when it warms. Taste mimics the nose with bubble gum and musty clove phenols first, and a long musty aftertaste. Nice full mouth feel. Drink this one at room temperature or slightly chilled. Flavors are very sharp and harsh when cold, round out rather nicely as it warms. Score reflects drinking at room temp/chilled.",10046,2976,4.31,335,332,1089885600.0,"United States, Maryland",Canada,58,unknown
933,192,Czech Pilsener,4.8,1401703200,mfnmbvp.705321,3.5,3.0,3.5,3.5,3.5,3.38,"12 oz. bottle, with enjoy by date of November 02, 2014 printed on the label. A new beer to me from New Belgium, acquired as part of the folly pack.Poured into an Arrogant Bastard pint glass.A - Pours the typical clear dark lager gold colored body with just under two fingers of thick rocky white head. Some fat bubbly lacing, but none sticks. Looks pretty good for the style.S - The smell is typical of the style also - dry, grainy, papery, corny / wheaty. Some musty / earthy yeast content, and just a hint of fruity hop presence. It possesses a note of that gnarly off-putting grainy horseradish type aroma that I have come to hate, though.T - The taste is of clean grains / wheat / corn, some grass, light citric hop character, earthy yeast, and bready sourdough tasting malts.M - Feel is crisp &amp; clean, goes down smooth, and leaves a dry papery grainy finish. Medium-light bodied with moderate carbonation.Overall, a standard example of the style. Nothing more and nothing less in my opinion. A nice option to have, but it wouldn't be my first choice from New Belgium.New Belgium Blue Paddle Pilsener ---3.5/5",1359,428,3.59,1903,1903,1354100400.0,"United States, Illinois","United States, Colorado",298,bottle
59173,17981,American IPA,7.5,1323687600,willseph.560547,5.0,4.0,3.5,3.5,4.0,3.81,"Thanks to KickInTheChalice for sharing this with me.The nose is quite nice, surprisingly I noted a lot of vanilla and mango with only a touch of the traditional hops smell. The creamy vanilla smell was pretty potent. Call me weird, but I thought this was a beautiful beer in appearance. A very cloudy apricot color, half a finger of fluffy head and very sticky lacing.Being the only white oak beer I've ever had, the taste was a bit surprising. I noticed heavy cream and spiciness with the hops bitterness on the back end. Some sweet citrus like nectarines were present, but the lack of citrusy hops was evident. Mouthfeel was interesting, it almost bites the mouth with the carbonation but yet leaves a bit of an oily feeling. Overall, a fun intro to white oak aging, although this won't be on my short list of favorite IPAs.",2180,479,4.15,28,21,,,"United States, Florida",981,unknown
86487,22511,American IPA,6.2,1380880800,blackie.15912,4.5,4.5,4.5,4.75,4.75,4.65,"drank so much of this - in and around Waterbury as well as a liter growler to go, and lord it was a lovely timeSusan is a deep, golden apricot in color with a rich cream white head that leaves good lacing. A carefully crafted hop blend is the highlight here - those lovely NZ hops bring their tropical medley including kiwi, mango, and passionfruit with the others bringing citrus highlights of tangerine and grapefruit. Juicy and fresh, riding a light, subtly sweet pale malt base with a touch of honey. Pleasant on the palate - moderate in body with a soft light-moderate carbonation. A balanced bitterness with a touch of citrus oil accents the finish and provides a dry, drinkable close. A top-tier IPA that pulls in all the best characteristics of a great hop blend and sets them against a thoughtful malt base..",1865,201,4.48,1842,1841,1110106800.0,"United States, Oregon","United States, Vermont",222,unknown
4849,1251,Extra Special / Strong Bitter (ESB),5.5,1350554400,johnnnniee.125029,4.0,3.5,3.5,2.5,3.5,3.13,"Pours a clear golden garnet color with a huge fluffy off white head that slowly dissipates and laces on the way down. Smells of caramel, mineral, and a bit of earth and spice with a hint of butter. the flavor is quite malty with caramel being the dominant taste. Earth, tart, and butter provide a bit of counter to the malty sweetness, but this one really leans to the malty side. Medium body with a moderate level of carbonation and a sweet slick mouthfeel. A buttery malt bomb how shipyard-ish. OK for what it is, but there are better red ales out there.",198,99,3.42,4192,3741,1172660400.0,"United States, New Hampshire","United States, New Hampshire",39,unknown
23392,9792,Witbier,4.5,1328698800,dim.100299,4.0,4.5,4.0,4.0,4.0,4.12,"a: This was a cloudy straw color and it poured with a thick, whipped cream head.s: Very appealing mix of yeasty phenols, citrus, flowery spice, and musty wheat.t: Doesn't quite live up to the smell, but this is very good. Grainy wheat with hints of fruit and a spicy, phenolic finish.m: Pretty chewy overall.o: I love a good wit but they are frustratingly hard to find. This was definitely one of them, glad I got to try it.",175,44,3.62,1551,1551,1159437600.0,"United States, Pennsylvania","United States, North Carolina",150,unknown
32437,64,Fruit / Vegetable Beer,10.0,1233313200,bedethevenerable.247470,4.0,4.0,4.0,3.0,3.5,3.5,"Presentation: 750ml brown bottle with an oldschool, classy-looking German-ish label. Apperance: Beautiful slightly hazy rose/orange beer with a fluffy cream head that has great retention.Smell: Bright, sweet, and fruity; there's dark fruit in here, but also something reminiscent of fresh blueberry muffins, and just a touch of alcohol and vanilla in the background.Taste: Nice tart raspberry/blackberry flavors; there's not a lot of depth here though, and the alcohol is pretty apparent. Mouthfeel: Medium-heavyDrinkability: Pretty high for the abvConclusion: This was my treat to myself on my 26th birthday; I'd been wanting to try this beer for a long time, and while it was pretty tasty, I was expecting a little more depth and complexity...at any rate, it was pretty tasty with dessert.",1617,530,3.69,670,669,1220608800.0,"United States, Missouri","United States, Delaware",378,bottle
66063,2372,Saison / Farmhouse Ale,7.3,1317290400,phyl21ca.2335,3.5,3.5,3.5,3.5,3.5,3.5,Bottle: Poured a dark black color ale with a medium size dirty white foamy head with OK retention and some light lacing. Aroma of light roasted malt with some rustic notes and light peppery yeast. Taste is not as complex as anticipated with a weird mix between some dry roasted malt and some light rustic notes and light funky yeast notes. Body is about average with good carbonation and no apparent alcohol. Lacking subtlety that makes Saison such a nice style – roasted malt idea is interesting but really not necessary.,140,92,3.47,6185,6185,1056621600.0,Canada,"United States, Georgia",183,bottle
26395,63,American Pale Ale (APA),5.9,1457607600,secondtooth.179213,3.25,3.5,3.5,3.5,3.5,3.49,"“Best-by”-dated a little old here, 2 months past the proposed date. So a little leeway given in rating.Appearance: Pours a semi-clear, semi-cloudy amber, with sloppy swirls of sudsy lace. Kinda average here.Aroma: Nicely crisp citrus (grapefruit) and pine. Decent.Taste: Hoppy, but muted a little into a piney-malty mix. Not bad still, but probably quite different and much better if it were fresher. I’ll have to re-review when I can find a new bottle.",1299,477,4.11,1386,1386,1197630000.0,"United States, Indiana","United States, Oregon",431,bottle
99699,192,Belgian IPA,6.2,1416740400,calgaryfmc.746208,3.75,3.75,3.5,4.0,3.75,3.83,"Single 12 oz. bottle poured into a nonic. A hazy pale lemon yellow with a thin layer of foamy white bubbles on top and leaving concentric rings of lace on the sides of the glass. Bright and fresh aroma of lemon and pineapple, grass, something else faintly tropical or gummy candy-like, coriander seed, a ghost of pine needles. Palate is refreshing, citric, subtly sweet ... I get more of a session IPA vibe than the expected witbier base, at least initially, although there is a solid undercurrent of Belgian seed spice and dry phenols. Grapefruit, lime, and some mango complement the lemon on the nose. The combination of Belgian yeast and citrus hops recalls ginger root, in a way. Body on the low end of medium with moderate carbonation. Finishes rather dry, with lingering citrus rind, clove, and coriander notes. I stand by my earlier &quot;session&quot; assessment, flavorsome yet light and drinkable. Good balance between American hop and Belgian flavors, with the former front and center and the latter playing a competent supporting role.",1979,298,3.75,926,926,1375437600.0,Canada,"United States, Colorado",298,bottle
50646,112,American Strong Ale,12.5,1264676400,zeff80.63854,4.0,4.0,3.5,4.0,3.5,3.85,"A - Poured out a clear, golden-orange color with a small, thin, bubbly head of white foam. It left soapy sheets of lace.S - It smelled boozy with a strong dose of sweet, sweet caramel. Notes of toffee were present with a mild floral nose, too.T - It tasted sweet and malty. There was a very sweet caramel and toffee flavor with a boozy alcohol presence.M - It was crisp and sharp with a slightly sticky feel. A medium to full bodied beer with a strong alcohol warmth.D - This was a tasty brew but too sweet to drink alot of it.",38,26,3.87,6096,4058,1139223600.0,"United States, Missouri","United States, California",52,unknown
27604,3120,American IPA,7.0,1300273200,kap1356.312685,4.0,4.5,4.0,4.5,4.5,4.42,"Reviewed from notes. HUGE thanks to javib458 for throwing this fresh bottle into a trade. Poured from a 22 oz. bomber into a Sam Adams Perfect Pint glass...A - Poured a nice golden-orange color that is slightly hazy. Bubbles are scraming up from the bottom of the glass. A nice white, 1.5 finger thick head forms and retains very well.S - Grassy, floral hops with some piney notes all up front. Grapefruits, pineapple, orange and mango all right in your face. Some biscuit malts in the background T - Really follows the nose quite well except the malt backbone stands out much sweeter than the nose. The hops are really juicy and the malt backbone nice and buttery.M - Medium bodied with a nice effervescence from the carbonation. Slightly dry and resinous at times.O - REALLY outstanding beer. Flavors are all great and really stand out as a great American IPA. A must try for the hop heads out there.",4355,876,4.29,885,305,1238065200.0,"United States, Pennsylvania","United States, California",113,bottle
76891,8,Saison / Farmhouse Ale,5.5,1328439600,wetpaperbag.152991,4.0,4.0,4.0,4.0,4.0,4.0,"A- Similar to that of an amber or copper ale. Head was short lived, but a thin layer of bubbles remain. S- Smell is great, Belgian yeast smell with dark fruits and a hint of lemon.T- Same as smell, but with a tobacco smoke taste in the finish, with a savory lemon after taste. M- The mouthfeel is good. It doesn't have a huge carbonation feel, but it has just the right amount for an easy drinking brew. O- I like this. It is easy drinking, and for the people who might be looking to branch out in their styles Widmer is doing something right with this brew. It isn't too in your face like some Saisons can be, but can be enjoyed by a larger range of people.",268,117,3.41,524,439,1187085600.0,"United States, Washington","United States, Oregon",186,unknown
68158,24926,Fruit / Vegetable Beer,3.6,1302948000,biboergosum.168458,3.5,3.0,2.5,3.0,2.5,2.88,"330ml, green foil capped bottle, new to these parts, and apparently 'Exotic'! Made with 62% 'Fairtrade' mango content, apparently - good to know!This beer pours a slightly hazy, medium golden straw colour, with one fat-ass finger of puffy, tightly foamy, and essentially soapy off-white head, the sort not long for this world, and gives up a bit of layered cloud-form lace upon its speedy exit. It smells of fleshy, semi-sweet, and pungent mango puree, mildly biscuity pale malt, and a weirdly zingy, indistinct, um, hoppiness, I guess. The taste is way too sweet isolated sugar-addled grain, saccharine mango flesh, and sweet, sugary, oh, wait, no, the rather faint earthy hops happen to be the only thing that is not seemingly over the top, well, sweet, in this particular concoction. The carbonation is pretty much plainly frothy, in a sort of deaf and mute sense, the body medium-heavy in that cloying simple syrup manner, so 'smooth', I guess, if that's your thing. It finishes still pretty bloody sweet, the earthy, somewhat musty mango character the only thing somewhat capable of meekly pointing in the other direction.Upon closer inspection of the label, it comes as no surprise that this is actually brewed by the good folks at Huyghe in Belgium, as this duly resonates with memories of their Ninkeberry fruit-fuck of a 'beer'. If it wasn't clear already, this is one sweet-as-sin tipple, diabetes-temptingly so.",17,8,2.88,6616,6616,1193569200.0,Canada,Netherlands,7,bottle
7879,259,Witbier,5.5,1288260000,brewcat.255548,4.0,3.5,4.5,4.0,4.5,4.03,"Really good. Was expecting a little more asertiveness one way or another on the aroma. Didn't really get much beyond the wheatyness and breadyness. Do agree there is some acidity or citrusy component mixed in there but kinda hard to nail down. Kinda like that. Refreshing as all hell on the pallet. Bright yet soft; clean yet full of flavor. A smidge tart, but very drinkable. Really like this beer and seems to open and grow as it warms in the glass.",1552,665,4.15,8,8,1223287200.0,"United States, Oregon",Belgium,18,unknown
